Date,Time,.SS,InverterMotorCurrent,InverterMotorPower,InverterMotorTorque,InverterMotorTemp,Drive_SpeedSensorShaftToBasket
3/9/2026,16:16:50:.050,0.05,0,0,-3,25,0
3/9/2026,16:16:50:.173,0.173,0,0,-3,25,0
3/9/2026,16:16:50:.290,0.29,0,0,-3,25,0
3/9/2026,16:16:50:.408,0.408,0,0,-3,25,0
3/9/2026,16:16:50:.569,0.569,0,0,-3,25,0
3/9/2026,16:16:50:.736,0.736,0,0,-3,25,0
3/9/2026,16:16:50:.872,0.872,0,0,-3,25,0
3/9/2026,16:16:51:.029,0.029,0,0,0,25,0
3/9/2026,16:16:51:.187,0.187,0,0,-1,25,0
3/9/2026,16:16:51:.306,0.306,0,0,-5,25,0
3/9/2026,16:16:51:.468,0.468,0,0,-4,25,0
3/9/2026,16:16:51:.631,0.631,0,0,-3,25,0
3/9/2026,16:16:51:.747,0.747,0,0,6,25,0
3/9/2026,16:16:51:.862,0.862,0,0,3,25,0
3/9/2026,16:16:51:.973,0.973,0,0,6,25,0
3/9/2026,16:16:52:.086,0.086,0,0,6,25,0
3/9/2026,16:16:52:.197,0.197,0,0,7,25,0
3/9/2026,16:16:52:.312,0.312,0,0,7,25,0
3/9/2026,16:16:52:.425,0.425,0,0,-1,25,0
3/9/2026,16:16:52:.559,0.559,0,0,-1,25,0
3/9/2026,16:16:52:.673,0.673,0,0,-2,25,0
3/9/2026,16:16:52:.883,0.883,0,0,-1,25,0
3/9/2026,16:16:53:.002,0.002,0,0,1,25,0
3/9/2026,16:16:53:.121,0.121,0,0,1,25,0
3/9/2026,16:16:53:.244,0.244,0,0,0,25,0
3/9/2026,16:16:53:.366,0.366,0,0,0,25,0
3/9/2026,16:16:53:.488,0.488,0,0,0,25,0
3/9/2026,16:16:53:.606,0.606,0,0,0,25,0
3/9/2026,16:16:53:.723,0.723,0,0,-1,25,0
3/9/2026,16:16:53:.843,0.843,0,0,11,25,0
3/9/2026,16:16:53:.967,0.967,0,0,3,25,0
3/9/2026,16:16:54:.190,0.19,0,0,-4,25,0
3/9/2026,16:16:54:.304,0.304,0,0,-1,25,0
3/9/2026,16:16:54:.418,0.418,0,0,-6,25,0
3/9/2026,16:16:54:.535,0.535,0,0,-6,25,0
3/9/2026,16:16:54:.653,0.653,0,0,-3,25,0
3/9/2026,16:16:54:.773,0.773,0,0,2,25,0
3/9/2026,16:16:54:.892,0.892,0,0,2,25,0
3/9/2026,16:16:55:.052,0.052,0,0,6,25,0
3/9/2026,16:16:55:.272,0.272,0,0,3,25,0
3/9/2026,16:16:55:.387,0.387,0,0,-13,25,0
3/9/2026,16:16:55:.519,0.519,0,0,-13,25,0
3/9/2026,16:16:55:.639,0.639,0,0,-6,25,0
3/9/2026,16:16:55:.761,0.761,0,0,1,25,0
3/9/2026,16:16:55:.882,0.882,0,0,-4,25,0
3/9/2026,16:16:56:.004,0.004,0,0,-1,25,0
3/9/2026,16:16:56:.129,0.129,0,0,5,25,0
3/9/2026,16:16:56:.256,0.256,0,0,-1,25,0
3/9/2026,16:16:56:.380,0.38,0,0,-1,25,0
3/9/2026,16:16:56:.505,0.505,0,0,-1,25,0
3/9/2026,16:16:56:.619,0.619,681,0,941,25,0
3/9/2026,16:16:56:.733,0.733,681,158,941,28,0
3/9/2026,16:16:56:.850,0.85,942,158,2169,28,0
3/9/2026,16:16:56:.980,0.98,942,160,2169,28,1
3/9/2026,16:16:57:.095,0.095,913,160,2113,28,1
3/9/2026,16:16:57:.263,0.263,838,128,2006,28,3
3/9/2026,16:16:57:.426,0.426,838,133,2006,28,5
3/9/2026,16:16:57:.540,0.54,808,136,1943,28,7
3/9/2026,16:16:57:.655,0.655,784,141,1797,28,8
3/9/2026,16:16:57:.771,0.771,782,135,1772,28,10
3/9/2026,16:16:57:.893,0.893,718,138,1697,28,11
3/9/2026,16:16:58:.005,0.005,718,124,1697,28,14
3/9/2026,16:16:58:.120,0.12,645,124,1495,28,14
3/9/2026,16:16:58:.254,0.254,645,116,1495,28,17
3/9/2026,16:16:58:.369,0.369,582,110,1382,28,20
3/9/2026,16:16:58:.541,0.541,543,110,1296,28,20
3/9/2026,16:16:58:.655,0.655,543,113,1296,28,23
3/9/2026,16:16:58:.783,0.783,521,113,1268,28,23
3/9/2026,16:16:58:.905,0.905,521,103,1268,28,27
3/9/2026,16:16:59:.077,0.077,498,102,1185,28,30
3/9/2026,16:16:59:.191,0.191,498,102,1185,28,30
3/9/2026,16:16:59:.307,0.307,498,106,1185,28,33
3/9/2026,16:16:59:.420,0.42,499,106,1144,28,33
3/9/2026,16:16:59:.546,0.546,499,95,1144,28,37
3/9/2026,16:16:59:.660,0.66,363,95,886,28,37
3/9/2026,16:16:59:.854,0.854,285,72,706,28,40
3/9/2026,16:16:59:.978,0.978,285,55,706,28,42
3/9/2026,16:17:00:.109,0.109,259,57,605,28,44
3/9/2026,16:17:00:.230,0.23,259,57,605,28,44
3/9/2026,16:17:00:.348,0.348,281,62,656,28,46
3/9/2026,16:17:00:.458,0.458,332,62,744,28,46
3/9/2026,16:17:00:.593,0.593,332,80,744,28,48
3/9/2026,16:17:00:.722,0.722,377,94,869,28,49
3/9/2026,16:17:00:.849,0.849,414,94,963,28,49
3/9/2026,16:17:00:.967,0.967,431,111,1014,28,51
3/9/2026,16:17:01:.087,0.087,476,114,1127,28,51
3/9/2026,16:17:01:.209,0.209,476,127,1127,28,53
3/9/2026,16:17:01:.333,0.333,513,127,1196,28,53
3/9/2026,16:17:01:.464,0.464,529,145,1251,28,55
3/9/2026,16:17:01:.578,0.578,529,154,1251,28,58
3/9/2026,16:17:01:.696,0.696,581,158,1337,28,58
3/9/2026,16:17:01:.861,0.861,573,165,1333,28,61
3/9/2026,16:17:01:.978,0.978,596,178,1391,28,63
3/9/2026,16:17:02:.095,0.095,589,178,1376,28,64
3/9/2026,16:17:02:.235,0.235,593,177,1367,28,66
3/9/2026,16:17:02:.403,0.403,563,177,1343,28,69
3/9/2026,16:17:02:.522,0.522,577,177,1345,28,69
3/9/2026,16:17:02:.674,0.674,577,184,1345,28,73
3/9/2026,16:17:02:.786,0.786,587,195,1369,28,75
3/9/2026,16:17:02:.900,0.9,594,196,1366,28,76
3/9/2026,16:17:03:.025,0.025,583,190,1356,28,79
3/9/2026,16:17:03:.138,0.138,554,189,1300,28,79
3/9/2026,16:17:03:.253,0.253,554,189,1300,28,79
3/9/2026,16:17:03:.369,0.369,554,189,1300,28,79
3/9/2026,16:17:03:.489,0.489,554,194,1300,28,85
3/9/2026,16:17:03:.613,0.613,558,194,1325,28,85
3/9/2026,16:17:03:.737,0.737,558,201,1325,28,88
3/9/2026,16:17:03:.850,0.85,537,198,1281,28,92
3/9/2026,16:17:03:.967,0.967,545,199,1262,28,93
3/9/2026,16:17:04:.084,0.084,545,199,1262,28,93
3/9/2026,16:17:04:.200,0.2,558,207,1301,28,96
3/9/2026,16:17:04:.330,0.33,558,210,1301,28,99
3/9/2026,16:17:04:.449,0.449,534,210,1267,28,99
3/9/2026,16:17:04:.630,0.63,549,212,1297,28,101
3/9/2026,16:17:04:.746,0.746,553,222,1299,28,105
3/9/2026,16:17:04:.868,0.868,550,220,1311,28,107
3/9/2026,16:17:04:.983,0.983,545,220,1279,28,107
3/9/2026,16:17:05:.117,0.117,557,220,1300,28,107
3/9/2026,16:17:05:.260,0.26,559,232,1304,28,111
3/9/2026,16:17:05:.382,0.382,559,231,1304,28,114
3/9/2026,16:17:05:.495,0.495,559,231,1304,28,114
3/9/2026,16:17:05:.609,0.609,559,244,1304,28,117
3/9/2026,16:17:05:.740,0.74,568,244,1343,28,117
3/9/2026,16:17:05:.857,0.857,568,248,1343,28,120
3/9/2026,16:17:05:.973,0.973,561,250,1296,28,124
3/9/2026,16:17:06:.089,0.089,579,250,1345,28,124
3/9/2026,16:17:06:.241,0.241,579,259,1345,28,127
3/9/2026,16:17:06:.383,0.383,559,257,1309,28,129
3/9/2026,16:17:06:.518,0.518,532,257,1241,28,129
3/9/2026,16:17:06:.631,0.631,532,210,1241,28,133
3/9/2026,16:17:06:.750,0.75,434,210,1059,28,133
3/9/2026,16:17:06:.983,0.983,434,174,1059,28,135
3/9/2026,16:17:07:.124,0.124,252,174,604,28,135
3/9/2026,16:17:07:.236,0.236,252,94,604,28,140
3/9/2026,16:17:07:.357,0.357,184,94,445,28,140
3/9/2026,16:17:07:.473,0.473,184,59,445,28,142
3/9/2026,16:17:07:.660,0.66,132,59,314,28,142
3/9/2026,16:17:07:.799,0.799,85,40,209,28,143
3/9/2026,16:17:07:.916,0.916,85,40,209,28,143
3/9/2026,16:17:08:.075,0.075,61,21,152,28,143
3/9/2026,16:17:08:.226,0.226,60,21,132,28,143
3/9/2026,16:17:08:.345,0.345,51,19,130,28,143
3/9/2026,16:17:08:.463,0.463,51,24,130,28,143
3/9/2026,16:17:08:.586,0.586,51,23,130,28,143
3/9/2026,16:17:08:.702,0.702,71,23,164,28,143
3/9/2026,16:17:08:.828,0.828,79,29,181,28,142
3/9/2026,16:17:08:.940,0.94,79,35,181,28,141
3/9/2026,16:17:09:.054,0.054,79,38,181,28,141
3/9/2026,16:17:09:.168,0.168,79,43,181,28,141
3/9/2026,16:17:09:.358,0.358,127,47,285,28,141
3/9/2026,16:17:09:.530,0.53,163,60,382,28,140
3/9/2026,16:17:09:.717,0.717,171,68,392,28,140
3/9/2026,16:17:09:.830,0.83,173,76,401,28,139
3/9/2026,16:17:09:.948,0.948,173,76,401,28,139
3/9/2026,16:17:10:.062,0.062,173,76,401,28,139
3/9/2026,16:17:10:.193,0.193,200,76,473,28,139
3/9/2026,16:17:10:.318,0.318,218,88,501,28,139
3/9/2026,16:17:10:.515,0.515,218,90,501,28,139
3/9/2026,16:17:10:.703,0.703,210,90,493,28,139
3/9/2026,16:17:10:.822,0.822,227,90,521,28,139
3/9/2026,16:17:10:.985,0.985,200,90,465,28,139
3/9/2026,16:17:11:.101,0.101,200,83,465,28,139
3/9/2026,16:17:11:.217,0.217,211,83,485,28,139
3/9/2026,16:17:11:.334,0.334,211,86,485,28,139
3/9/2026,16:17:11:.450,0.45,192,86,444,28,139
3/9/2026,16:17:11:.612,0.612,192,81,444,28,139
3/9/2026,16:17:11:.730,0.73,198,78,446,28,140
3/9/2026,16:17:11:.843,0.843,181,78,411,28,140
3/9/2026,16:17:11:.974,0.974,181,77,411,28,140
3/9/2026,16:17:12:.166,0.166,187,76,440,28,140
3/9/2026,16:17:12:.306,0.306,167,76,392,28,140
3/9/2026,16:17:12:.419,0.419,179,70,417,28,140
3/9/2026,16:17:12:.553,0.553,182,74,423,28,140
3/9/2026,16:17:12:.673,0.673,165,70,401,28,140
3/9/2026,16:17:12:.802,0.802,165,70,401,28,140
3/9/2026,16:17:12:.933,0.933,178,70,408,28,140
3/9/2026,16:17:13:.079,0.079,167,72,399,28,140
3/9/2026,16:17:13:.204,0.204,166,70,375,28,140
3/9/2026,16:17:13:.324,0.324,184,70,402,28,140
3/9/2026,16:17:13:.442,0.442,184,72,402,28,140
3/9/2026,16:17:13:.560,0.56,169,72,392,28,140
3/9/2026,16:17:13:.681,0.681,169,69,392,28,140
3/9/2026,16:17:13:.798,0.798,178,69,417,28,140
3/9/2026,16:17:13:.920,0.92,169,74,413,28,140
3/9/2026,16:17:14:.034,0.034,169,70,413,28,140
3/9/2026,16:17:14:.148,0.148,185,73,420,28,140
3/9/2026,16:17:14:.307,0.307,185,77,421,28,140
3/9/2026,16:17:14:.422,0.422,176,75,414,28,140
3/9/2026,16:17:14:.583,0.583,176,74,414,28,140
3/9/2026,16:17:14:.707,0.707,184,78,437,28,140
3/9/2026,16:17:14:.825,0.825,176,78,417,28,140
3/9/2026,16:17:14:.957,0.957,181,72,422,28,140
3/9/2026,16:17:15:.099,0.099,181,75,422,28,140
3/9/2026,16:17:15:.260,0.26,174,75,423,28,140
3/9/2026,16:17:15:.418,0.418,185,73,427,28,140
3/9/2026,16:17:15:.634,0.634,185,76,427,28,140
3/9/2026,16:17:15:.750,0.75,178,73,421,28,140
3/9/2026,16:17:15:.864,0.864,182,73,421,28,140
3/9/2026,16:17:15:.981,0.981,182,78,421,28,140
3/9/2026,16:17:16:.098,0.098,181,78,431,28,140
3/9/2026,16:17:16:.256,0.256,181,73,431,28,140
3/9/2026,16:17:16:.373,0.373,181,77,437,28,140
3/9/2026,16:17:16:.488,0.488,175,77,423,28,140
3/9/2026,16:17:16:.644,0.644,175,73,423,28,140
3/9/2026,16:17:16:.862,0.862,181,76,422,28,140
3/9/2026,16:17:16:.975,0.975,170,70,408,28,140
3/9/2026,16:17:17:.175,0.175,185,71,423,28,140
3/9/2026,16:17:17:.361,0.361,174,76,405,28,140
3/9/2026,16:17:17:.508,0.508,175,68,401,28,140
3/9/2026,16:17:17:.654,0.654,180,76,416,28,140
3/9/2026,16:17:17:.790,0.79,185,71,443,28,140
3/9/2026,16:17:17:.910,0.91,178,69,429,28,140
3/9/2026,16:17:18:.037,0.037,178,77,429,28,140
3/9/2026,16:17:18:.189,0.189,183,77,412,28,140
3/9/2026,16:17:18:.336,0.336,173,71,418,28,140
3/9/2026,16:17:18:.465,0.465,177,76,421,28,140
3/9/2026,16:17:18:.595,0.595,186,76,439,28,140
3/9/2026,16:17:18:.731,0.731,175,75,417,28,140
3/9/2026,16:17:18:.849,0.849,188,76,429,28,140
3/9/2026,16:17:18:.969,0.969,188,77,429,28,140
3/9/2026,16:17:19:.092,0.092,188,74,429,28,140
3/9/2026,16:17:19:.207,0.207,172,74,410,28,140
3/9/2026,16:17:19:.335,0.335,186,78,430,28,140
3/9/2026,16:17:19:.452,0.452,186,73,430,28,140
3/9/2026,16:17:19:.637,0.637,175,72,404,28,140
3/9/2026,16:17:19:.756,0.756,186,76,433,28,140
3/9/2026,16:17:19:.874,0.874,186,74,433,28,140
3/9/2026,16:17:20:.002,0.002,171,74,409,28,140
3/9/2026,16:17:20:.117,0.117,171,76,409,28,140
3/9/2026,16:17:20:.232,0.232,188,76,426,28,140
3/9/2026,16:17:20:.351,0.351,174,76,402,28,140
3/9/2026,16:17:20:.477,0.477,168,76,405,28,140
3/9/2026,16:17:20:.591,0.591,168,74,405,28,140
3/9/2026,16:17:20:.760,0.76,184,75,431,28,140
3/9/2026,16:17:20:.883,0.883,173,75,422,28,140
3/9/2026,16:17:20:.996,0.996,173,75,422,28,140
3/9/2026,16:17:21:.115,0.115,186,75,446,28,140
3/9/2026,16:17:21:.227,0.227,174,75,429,28,140
3/9/2026,16:17:21:.342,0.342,174,73,429,28,140
3/9/2026,16:17:21:.462,0.462,186,73,428,28,140
3/9/2026,16:17:21:.578,0.578,186,76,428,28,140
3/9/2026,16:17:21:.694,0.694,168,76,412,28,140
3/9/2026,16:17:21:.812,0.812,168,70,412,28,140
3/9/2026,16:17:21:.966,0.966,182,70,422,28,140
3/9/2026,16:17:22:.083,0.083,171,74,403,28,140
3/9/2026,16:17:22:.201,0.201,171,73,403,28,140
3/9/2026,16:17:22:.320,0.32,178,73,419,28,140
3/9/2026,16:17:22:.438,0.438,178,73,419,28,140
3/9/2026,16:17:22:.557,0.557,166,73,386,28,140
3/9/2026,16:17:22:.694,0.694,166,69,386,28,140
3/9/2026,16:17:22:.809,0.809,185,74,420,28,140
3/9/2026,16:17:22:.961,0.961,171,74,399,28,140
3/9/2026,16:17:23:.151,0.151,171,70,399,28,140
3/9/2026,16:17:23:.264,0.264,183,76,426,28,140
3/9/2026,16:17:23:.378,0.378,183,76,426,28,140
3/9/2026,16:17:23:.491,0.491,183,76,426,28,140
3/9/2026,16:17:23:.650,0.65,182,76,445,28,140
3/9/2026,16:17:23:.766,0.766,178,75,420,28,140
3/9/2026,16:17:23:.883,0.883,178,71,420,28,140
3/9/2026,16:17:23:.999,0.999,181,71,409,28,140
3/9/2026,16:17:24:.166,0.166,181,76,409,28,140
3/9/2026,16:17:24:.280,0.28,180,70,422,28,140
3/9/2026,16:17:24:.393,0.393,181,70,438,28,140
3/9/2026,16:17:24:.524,0.524,181,77,438,28,140
3/9/2026,16:17:24:.680,0.68,174,77,419,28,140
3/9/2026,16:17:24:.862,0.862,180,71,418,28,140
3/9/2026,16:17:24:.980,0.98,186,78,435,28,140
3/9/2026,16:17:25:.100,0.1,174,72,419,28,140
3/9/2026,16:17:25:.215,0.215,176,73,424,28,140
3/9/2026,16:17:25:.368,0.368,176,78,424,28,140
3/9/2026,16:17:25:.486,0.486,176,71,424,28,140
3/9/2026,16:17:25:.600,0.6,177,70,414,28,140
3/9/2026,16:17:25:.764,0.764,183,77,430,28,140
3/9/2026,16:17:25:.922,0.922,182,75,430,28,140
3/9/2026,16:17:26:.044,0.044,176,71,412,28,140
3/9/2026,16:17:26:.160,0.16,176,77,412,28,140
3/9/2026,16:17:26:.274,0.274,184,77,431,28,140
3/9/2026,16:17:26:.419,0.419,184,71,431,28,140
3/9/2026,16:17:26:.539,0.539,173,77,424,28,140
3/9/2026,16:17:26:.660,0.66,180,77,435,28,140
3/9/2026,16:17:26:.819,0.819,180,72,435,28,140
3/9/2026,16:17:26:.935,0.935,175,76,416,28,140
3/9/2026,16:17:27:.055,0.055,185,76,436,28,140
3/9/2026,16:17:27:.167,0.167,184,73,424,28,140
3/9/2026,16:17:27:.366,0.366,174,73,414,28,140
3/9/2026,16:17:27:.483,0.483,190,77,420,28,140
3/9/2026,16:17:27:.598,0.598,190,74,420,28,140
3/9/2026,16:17:27:.739,0.739,176,74,398,28,140
3/9/2026,16:17:27:.881,0.881,188,73,432,28,140
3/9/2026,16:17:28:.104,0.104,188,76,432,28,140
3/9/2026,16:17:28:.263,0.263,188,76,432,28,140
3/9/2026,16:17:28:.381,0.381,189,78,434,28,140
3/9/2026,16:17:28:.499,0.499,176,78,402,28,140
3/9/2026,16:17:28:.617,0.617,176,72,402,28,140
3/9/2026,16:17:28:.734,0.734,184,72,421,28,140
3/9/2026,16:17:28:.850,0.85,184,77,421,28,140
3/9/2026,16:17:28:.967,0.967,174,77,403,28,140
3/9/2026,16:17:29:.160,0.16,174,71,403,28,140
3/9/2026,16:17:29:.281,0.281,183,75,426,28,140
3/9/2026,16:17:29:.395,0.395,183,75,426,28,140
3/9/2026,16:17:29:.529,0.529,183,73,426,28,140
3/9/2026,16:17:29:.685,0.685,187,74,433,28,140
3/9/2026,16:17:29:.869,0.869,170,74,403,28,140
3/9/2026,16:17:29:.984,0.984,185,74,411,28,140
3/9/2026,16:17:30:.145,0.145,185,75,411,28,140
3/9/2026,16:17:30:.308,0.308,171,70,395,28,140
3/9/2026,16:17:30:.476,0.476,182,70,425,28,140
3/9/2026,16:17:30:.601,0.601,179,76,418,28,140
3/9/2026,16:17:30:.784,0.784,179,70,418,28,140
3/9/2026,16:17:30:.975,0.975,177,75,420,28,140
3/9/2026,16:17:31:.215,0.215,179,71,426,28,140
3/9/2026,16:17:31:.334,0.334,178,75,418,28,140
3/9/2026,16:17:31:.454,0.454,181,71,417,28,140
3/9/2026,16:17:31:.568,0.568,171,71,396,28,140
3/9/2026,16:17:31:.682,0.682,170,71,414,28,140
3/9/2026,16:17:31:.849,0.849,170,75,414,28,140
3/9/2026,16:17:31:.964,0.964,178,69,419,28,140
3/9/2026,16:17:32:.088,0.088,172,69,403,28,140
3/9/2026,16:17:32:.199,0.199,172,75,403,28,140
3/9/2026,16:17:32:.328,0.328,183,70,418,28,140
3/9/2026,16:17:32:.509,0.509,174,70,398,28,140
3/9/2026,16:17:32:.703,0.703,177,74,409,28,140
3/9/2026,16:17:32:.837,0.837,180,69,420,28,140
3/9/2026,16:17:32:.956,0.956,177,75,413,28,140
3/9/2026,16:17:33:.110,0.11,178,75,419,28,140
3/9/2026,16:17:33:.230,0.23,178,70,419,28,140
3/9/2026,16:17:33:.349,0.349,173,70,426,28,140
3/9/2026,16:17:33:.506,0.506,173,74,426,28,140
3/9/2026,16:17:33:.678,0.678,181,68,428,28,140
3/9/2026,16:17:33:.836,0.836,171,72,412,28,140
3/9/2026,16:17:33:.952,0.952,179,74,406,28,140
3/9/2026,16:17:34:.101,0.101,179,69,406,28,140
3/9/2026,16:17:34:.237,0.237,179,74,406,28,140
3/9/2026,16:17:34:.403,0.403,183,74,415,28,140
3/9/2026,16:17:34:.516,0.516,168,70,394,28,140
3/9/2026,16:17:34:.639,0.639,168,71,394,28,140
3/9/2026,16:17:34:.752,0.752,180,75,430,28,140
3/9/2026,16:17:34:.892,0.892,180,75,430,28,140
3/9/2026,16:17:35:.012,0.012,180,75,430,28,140
3/9/2026,16:17:35:.134,0.134,181,70,417,28,140
3/9/2026,16:17:35:.303,0.303,180,75,413,28,140
3/9/2026,16:17:35:.465,0.465,171,71,401,28,140
3/9/2026,16:17:35:.580,0.58,182,70,422,28,140
3/9/2026,16:17:35:.707,0.707,182,73,422,28,140
3/9/2026,16:17:35:.824,0.824,175,73,401,28,140
3/9/2026,16:17:35:.942,0.942,184,71,435,28,140
3/9/2026,16:17:36:.087,0.087,184,78,435,28,140
3/9/2026,16:17:36:.203,0.203,174,76,410,28,140
3/9/2026,16:17:36:.320,0.32,174,74,410,28,140
3/9/2026,16:17:36:.433,0.433,189,74,435,28,140
3/9/2026,16:17:36:.569,0.569,189,76,435,28,140
3/9/2026,16:17:36:.681,0.681,173,72,414,28,140
3/9/2026,16:17:36:.799,0.799,188,72,435,28,140
3/9/2026,16:17:36:.963,0.963,185,77,434,28,140
3/9/2026,16:17:37:.075,0.075,174,77,419,28,140
3/9/2026,16:17:37:.191,0.191,174,75,419,28,140
3/9/2026,16:17:37:.325,0.325,185,75,432,28,140
3/9/2026,16:17:37:.440,0.44,173,74,408,28,140
3/9/2026,16:17:37:.594,0.594,173,72,408,28,140
3/9/2026,16:17:37:.762,0.762,182,72,427,28,140
3/9/2026,16:17:38:.019,0.019,182,76,427,28,140
3/9/2026,16:17:38:.185,0.185,181,72,441,28,140
3/9/2026,16:17:38:.297,0.297,181,74,441,28,140
3/9/2026,16:17:38:.429,0.429,175,74,399,28,140
3/9/2026,16:17:38:.548,0.548,181,75,428,28,140
3/9/2026,16:17:38:.661,0.661,181,75,428,28,140
3/9/2026,16:17:38:.776,0.776,170,75,397,28,140
3/9/2026,16:17:38:.891,0.891,170,71,397,28,140
3/9/2026,16:17:39:.026,0.026,184,71,425,28,140
3/9/2026,16:17:39:.196,0.196,184,74,425,28,140
3/9/2026,16:17:39:.311,0.311,168,71,411,28,140
3/9/2026,16:17:39:.474,0.474,181,71,431,28,140
3/9/2026,16:17:39:.594,0.594,172,73,410,28,140
3/9/2026,16:17:39:.709,0.709,170,69,414,28,140
3/9/2026,16:17:39:.826,0.826,173,71,420,28,140
3/9/2026,16:17:39:.939,0.939,173,75,420,28,140
3/9/2026,16:17:40:.098,0.098,168,75,391,28,140
3/9/2026,16:17:40:.229,0.229,175,69,411,28,140
3/9/2026,16:17:40:.391,0.391,175,75,411,28,140
3/9/2026,16:17:40:.592,0.592,180,70,422,28,140
3/9/2026,16:17:40:.706,0.706,179,77,413,28,140
3/9/2026,16:17:40:.821,0.821,176,77,415,28,140
3/9/2026,16:17:40:.949,0.949,176,69,415,28,140
3/9/2026,16:17:41:.062,0.062,173,69,410,28,140
3/9/2026,16:17:41:.236,0.236,180,74,430,28,140
3/9/2026,16:17:41:.350,0.35,180,72,430,28,140
3/9/2026,16:17:41:.464,0.464,178,72,411,28,140
3/9/2026,16:17:41:.579,0.579,178,76,411,28,140
3/9/2026,16:17:41:.690,0.69,185,76,422,28,140
3/9/2026,16:17:41:.805,0.805,185,73,422,28,140
3/9/2026,16:17:41:.919,0.919,173,73,395,28,140
3/9/2026,16:17:42:.035,0.035,173,75,395,28,140
3/9/2026,16:17:42:.187,0.187,182,75,434,28,140
3/9/2026,16:17:42:.326,0.326,175,72,414,28,140
3/9/2026,16:17:42:.493,0.493,175,74,414,28,140
3/9/2026,16:17:42:.659,0.659,175,70,414,28,140
3/9/2026,16:17:42:.865,0.865,173,70,420,28,140
3/9/2026,16:17:42:.980,0.98,182,76,427,28,140
3/9/2026,16:17:43:.122,0.122,182,72,427,28,140
3/9/2026,16:17:43:.239,0.239,171,76,413,28,140
3/9/2026,16:17:43:.353,0.353,171,76,413,28,140
3/9/2026,16:17:43:.480,0.48,171,71,413,28,140
3/9/2026,16:17:43:.647,0.647,168,71,393,28,140
3/9/2026,16:17:43:.763,0.763,178,73,427,28,140
3/9/2026,16:17:43:.923,0.923,178,71,427,28,140
3/9/2026,16:17:44:.130,0.13,162,71,404,28,140
3/9/2026,16:17:44:.264,0.264,179,73,408,28,140
3/9/2026,16:17:44:.379,0.379,167,73,408,28,140
3/9/2026,16:17:44:.492,0.492,167,72,408,28,140
3/9/2026,16:17:44:.615,0.615,183,72,428,28,140
3/9/2026,16:17:44:.725,0.725,183,71,428,28,140
3/9/2026,16:17:44:.883,0.883,168,71,396,28,140
3/9/2026,16:17:44:.996,0.996,181,72,426,28,140
3/9/2026,16:17:45:.110,0.11,181,75,426,28,140
